,顾客编号,1月消费额,2月消费额,3月消费额,4月消费额,1月消费次数,2月消费次数,3月消费次数,4月消费次数
0,0,11.05,,,,4,,,
1,1,12.299999999999999,30.299999999999997,,,4,3.0,,
2,2,48.7,30.0,,,12,10.0,,
3,3,67.39,360.97,68.86999999999999,49.28,9,17.0,16.0,10.0
4,4,27.900000000000002,,,,4,,,
5,5,57.599999999999994,,33.5,48.34,7,,4.0,4.0
6,6,23.990000000000002,65.67,11.5,49.14,3,8.0,1.0,9.0
7,7,138.37,,61.489999999999995,52.07,6,,8.0,11.0
8,8,190.49,,111.85000000000001,74.72000000000001,12,,11.0,5.0
9,9,80.4,,,,9,,,
10,10,220.63000000000002,,117.03,,16,,11.0,
11,11,50.300000000000004,,,,9,,,
12,12,677.8900000000002,531.9499999999998,391.52,236.82999999999998,77,30.0,47.0,25.0
13,13,158.29999999999995,9.7,160.72000000000003,314.13999999999993,16,1.0,18.0,33.0
14,14,298.21999999999997,,,,16,,,
15,15,313.87999999999994,,,,17,,,
16,16,139.99000000000004,246.10000000000002,,,11,8.0,,
17,17,240.76999999999995,284.65000000000003,45.019999999999996,52.8,48,27.0,9.0,11.0
18,18,32.44,,,,4,,,
19,19,223.06,,,,19,,,
20,20,117.78000000000002,122.24000000000001,24.21,131.35999999999999,22,20.0,4.0,13.0
21,21,74.66,111.1,47.76,13.879999999999999,15,3.0,15.0,5.0
22,22,93.78999999999999,,,,7,,,
23,23,16.2,,,,2,,,
24,24,178.1299999999999,144.58,353.81999999999994,177.28,41,30.0,66.0,22.0
25,25,38.51,,,,2,,,
26,26,184.39000000000001,59.7,,,18,3.0,,
27,27,81.59,,,,7,,,
28,28,13.9,,,,2,,,
29,29,20.5,,,,3,,,
30,30,53.02,,,,3,,,
31,31,173.08000000000004,59.5,176.26000000000005,195.03,36,11.0,45.0,22.0
32,32,415.03999999999985,388.2200000000001,175.76000000000005,203.84,52,43.0,32.0,34.0
33,33,219.7,,,,9,,,
34,34,217.61000000000004,190.10000000000005,308.69999999999993,302.0,30,37.0,33.0,28.0
35,35,80.92,,,,12,,,
36,36,42.72,,,,4,,,
37,37,102.75999999999999,283.9,,,19,30.0,,
